Issue Type,Summary,Epic Name,Epic Link,Description,Acceptance Criteria,Story Points,Priority,Labels,Components,Requirements
Epic,Platform foundation & monorepo,Platform foundation & monorepo,,"Monorepo, engine, shared libs, CI/CD scaffolding.",,,High,epic,,
Epic,GitOps spine & projection,GitOps spine & projection,,Git as system of record; Postgres projection; reconciler; read API.,,,High,epic,,
Epic,"Catalog, publication & consumption","Catalog, publication & consumption",,"Catalog/UI, contracts, SDKs, CLI.",,,High,epic,,
Epic,"Identity, RBAC & ABAC","Identity, RBAC & ABAC",,"OIDC/SAML, roles, attribute-level access.",,,High,epic,,
Epic,"Governance, approvals & immutable audit","Governance, approvals & immutable audit",,"ChangeSets, gates, maker/checker, audit.",,,High,epic,,
Epic,Pipeline orchestration,Pipeline orchestration,,Generate/deploy/run medallion pipelines.,,,High,epic,,
Epic,Lineage & Unity Catalog integration,Lineage & Unity Catalog integration,,Column lineage + two-way UC sync.,,,High,epic,,
Epic,"Events, webhooks & subscriptions","Events, webhooks & subscriptions",,"Event bus, webhooks, notifications.",,,High,epic,,
Epic,"Packaging, hardening & operations","Packaging, hardening & operations",,"Docker/Helm/IaC, security, observability, DR.",,,High,epic,,
Epic,Compliance packs,Compliance packs,,"GDPR, BCBS 239, retention/legal hold (post-GA).",,,High,epic,,
Epic,Federated operating model & enterprise sign-off,Federated operating model & enterprise sign-off,,Domain ownership; Chief Data Architect / ARB sign-off; scope-aware approval routing.,,,High,epic,,
Story,Set up monorepo workspace & task runner,,Platform foundation & monorepo,Establish pnpm workspaces + Turborepo + Changesets; shared tsconfig and lint with module-boundary rules.,"1. Workspace builds all packages
2. Boundary lint fails on illegal cross-imports
3. Changesets versioning configured",5,High,foundation P0,Platform,NFR-MAINT-001
Story,"Establish engine package (contracts, generators, registry)",,Platform foundation & monorepo,"House the pure engine: contract types, generators, governance checks, semver, registry.","1. Engine is dependency-light and unit-tested
2. No engine dependency on HTTP/DB",5,High,foundation P0,Platform,FR-MM-006 NFR-MAINT-001
Story,Shared config & structured logging,,Platform foundation & monorepo,"Typed config loader (env + file), structured JSON logger with secret/PII redaction.","1. Invalid config fails fast with a clear message
2. Logs contain no secret/PII values",3,High,foundation P0,Platform,NFR-OPS-001
Story,"CI pipeline (build, test, scan, SBOM)",,Platform foundation & monorepo,"PR pipeline: typecheck, unit, lint/boundary, SCA + secret scan, SBOM, signed image.","1. CI runs on PR and blocks on failure
2. SBOM + signed image produced on main",5,High,foundation P0 security,Platform Ops,NFR-SEC-004 NFR-MAINT-002
Story,Git provider adapter (local + GitLab),,GitOps spine & projection,GitProvider interface with a local filesystem impl and a GitLab REST impl (read path; write path in EP05).,"1. readTree returns the model tree + a content sha
2. GitLab read path works against a test project",8,High,gitops P1 integration,Data Integration,FR-IN-001
Story,Postgres projection schema & migrations,,GitOps spine & projection,Forward-only migrations for domain/model/field/version/edge + meta; each record carries source_sha.,"1. Migrations apply cleanly
2. Records carry source_sha",5,High,gitops P1,Platform,DR-011 NFR-MAINT-003
Story,"Reconciler (Git → projection, idempotent)",,GitOps spine & projection,Materialize the Git tree into the projection; idempotent; full rebuild from a commit.,"1. Re-running reconcile yields identical projection
2. Rebuild reproduces projection exactly from a sha",8,High,gitops P1,Platform,FR-IN-002 NFR-DR-001
Story,"Read API (domains, models, registry, search)",,GitOps spine & projection,Fastify read endpoints over the projection with FTS.,"1. Documented read endpoints respond
2. Search filters by facets",5,High,gitops P1 api,Platform,FR-CP-001 FR-CN-001
Story,Seed loader & demo dataset,,GitOps spine & projection,Seed the models repo with a synthetic capital-markets domain for out-of-box exploration.,1. Fresh install is explorable with seeded models,3,Medium,gitops P1,Platform,FR-AD-002
Story,Drift detection & alerting,,GitOps spine & projection,Detect divergence between Git head and the projection; alert when stale.,1. Out-of-band commit raises a drift alert,3,High,gitops P1 ops,Platform,FR-IN-003
Story,Catalog & faceted search UI,,"Catalog, publication & consumption","Browse/search models & products with facets (domain, kind, status, classification, PII/MNPI, owner).","1. Search returns filtered results
2. Facets work as specified",5,High,experience P2 ui,Experience,FR-CP-001 FR-UI-001
Story,Model/product detail view,,"Catalog, publication & consumption","Schema (with classification + PII/MNPI), versions, lineage refs, owner, contracts.","1. Detail view renders all elements
2. Contracts are downloadable",5,High,experience P2 ui,Experience,FR-CP-002 FR-CP-003
Story,Interactive ERD,,"Catalog, publication & consumption","Expandable entities, FK connectors, classification badges, role-aware masking.","1. Entities expand to attributes
2. FK connectors render between entities",5,Medium,experience P2 ui,Experience,FR-UI-003
Story,Machine-readable contracts & .well-known,,"Catalog, publication & consumption",Generate JSON Schema/OpenAPI/JSON-LD per model + capability descriptor.,"1. Each artifact is retrievable and valid
2. /.well-known/dct.json is accurate",5,High,experience P2 api,Experience,FR-CP-003 FR-CP-004
Story,TypeScript & Python SDKs,,"Catalog, publication & consumption",Typed clients for read endpoints honoring masking.,"1. Both SDKs round-trip reads
2. Masking respected in SDK responses",5,High,experience P2 sdk,Experience,FR-CN-003
Story,"CLI (validate, diff, propose, simulate, generate, pipeline, lineage)",,"Catalog, publication & consumption",Operator/CI CLI wrapping engine + API.,"1. Each command performs its function
2. CLI usable in CI",5,High,experience P2 cli,Experience,FR-CN-004
Story,OIDC/SAML login & sessions,,"Identity, RBAC & ABAC",Authenticate via corporate IdP; short-lived sessions; logout.,"1. SSO login works
2. Sessions expire and refresh",8,High,security P3 auth,Governance & Security,FR-IN-006 CR-040
